Prunus dulcis
Prunus mume
Prunus persica
Prunus serotina
Prunus spinosa
Prunus virginiana
Pseudechis australis
Pseudoryx nghetinhensis
Psidium guajava
Pteranodon longiceps
Pterodactylus antiquus
Pterodactylus longirostris
Pteronura brasiliensis
Pteropus poliocephalus
Puma concolor
Punica granatum
Pyrrhocorax graculus
Pyrrhocorax pyrrhocorax
Pyrus calleryana
Pyrus pyrifolia
Python molurus
Quelea quelea
Quercus alba
Quercus macrocarpa
Quercus palustris
Quercus robur
Quercus rubra
Quercus velutina
Quercus virginiana
Rafflesia arnoldii
Rallus aquaticus
Rangifer tarandus
Raphus cucullatus
Raphus solitarius
Rattus norvegicus
Redunca redunca
Regulus ignicapilla
Regulus regulus
Rhinella marina
Rhinoceros sondaicus
Rhinoceros unicornis
Rhodiola rosea
Ribes nigrum
Robinia pseudoacacia
Rosa canina
Rubus chamaemorus
Rubus leucodermis
Rudbeckia hirta
Ruta graveolens
Sabal palmetto
Saguinus oedipus
Saiga borealis
Saiga tatarica
Salmo salar
Salmo trutta
Salvia divinorum
Salvia hispanica
Salvia officinalis
Sambucus nigra
Sansevieria trifasciata
Saraca asoca
Sarcophilus harrisii
Sarcoramphus papa
Sassafras albidum
Scalopus aquaticus
Scaphirhynchus albus
Schinus molle
Senecio radiatus
Senecio vulgaris
Sepioteuthis lessoniana
Sequoia sempervirens
Sequoiadendron giganteum
Sesamum indicum
Shorea robusta
Silybum marianum
Simarouba amara
Siraitia grosvenorii
Sistrurus catenatus
Solanum lycopersicum
Solanum nigrum
Solanum tuberosum
Sorbus aucuparia
Sorghum bicolor
Sphenodon punctatus
Stephanoaetus coronatus
Sterna hirundo
Sternotherus odoratus
Stevia rebaudiana
Strigops habroptila
Struthio camelus
Sturnus vulgaris
Sula nebouxii
Suricata suricatta
Sylvia atricapilla
Sylvia borin
Symphyotrichum novi-belgii
Syncerus caffer
Synsepalum dulcificum
Syringa vulgaris
Syzygium cumini
Syzygium samarangense
Tabernanthe iboga
Tachyglossus aculeatus
Taraxacum officinale
Taurotragus derbianus
Taurotragus oryx
Taxidea taxus
Taxodium distichum
Taxus baccata
Taxus brevifolia
Telopea speciosissima
Terminalia chebula
Tetracerus quadricornis
Tetrao urogallus
Teuthowenia megalops
Theodoxus fluviatilis
Threskiornis solitarius
Thryothorus ludovicianus
Thuja occidentalis
Thuja plicata
Thunnus maccoyii
Thylacinus cynocephalus
Tilia americana
Tilia cordata
Tinospora cordifolia
Toxicodendron diversilobum
Toxicodendron radicans
Toxicodendron vernix
Toxostoma rufum
Tragelaphus angasii
Tragelaphus buxtoni
Tragelaphus eurycerus
Tragelaphus spekii
Transandinomys talamancae
Tremarctos ornatus
Tribulus terrestris
Trifolium pratense
Trifolium repens
Triturus carnifex
Tsuga canadensis
Turdus merula
Turdus migratorius
Tympanuchus phasianellus
Ulmus americana
Ulmus laevis
Ulmus parvifolia
Ulmus procera
Ulmus rubra
Uncia uncia
Urocyon littoralis
Ursus americanus
Ursus arctos
Ursus maritimus
Ursus thibetanus
Urtica dioica
Vaccinium vitis-idaea
Valeriana officinalis
Varanus komodoensis
Verbascum thapsus
Vicugna pacos
Vigna mungo
Vigna unguiculata
Vipera berus
Vitex agnus-castus
Vitis rotundifolia
Vitis vinifera
Vulpes lagopus
Vulpes vulpes
Vultur gryphus
Withania somnifera
Yucca brevifolia
Zalophus californianus
Ziziphus mauritiana
Viburnum opulus
Quercus suber
Carya ovata
Octopus kaurna
Chamaecyparis lawsoniana
Galium odoratum
Rauvolfia serpentina
Calluna vulgaris
Matricaria chamomilla
Arctium lappa
Prosopis juliflora
Saussurea obvallata
Cinnamomum verum
Turnera diffusa
Santalum album
Fragaria vesca
