count,country,day,issue,language,month
1,TW,2017-10-22,habitat destruction,zh_t,2017-10
2,NL,2017-10-22,biodiversity,nl,2017-10
1,DE,2017-10-22,biodiversity,nl,2017-10
1,DK,2017-10-22,endangered species,nl,2017-10
1,BE,2017-10-22,deforestation,nl,2017-10
1,NL,2017-10-22,deforestation,nl,2017-10
6,BE,2017-10-22,sustainability,nl,2017-10
10,PL,2017-10-22,ecology,in,2017-10
6,PL,2017-10-22,ecology,pl,2017-10
2,ES,2017-10-22,ecology,in,2017-10
3,ES,2017-10-22,ecology,pl,2017-10
7,NL,2017-10-22,sustainability,nl,2017-10
1,PL,2017-10-22,biodiversity,pl,2017-10
9,NL,2017-10-22,ecology,pl,2017-10
1,FR,2017-10-22,sustainability,nl,2017-10
4,FI,2017-10-22,ecology,in,2017-10
3,FI,2017-10-22,ecology,pl,2017-10
1,US,2017-10-22,sustainability,nl,2017-10
1,BE,2017-10-22,climate change,nl,2017-10
1,PL,2017-10-22,deforestation,pl,2017-10
1,US,2017-10-22,climate change,nl,2017-10
1,PL,2017-10-22,sustainability,pl,2017-10
4,IR,2017-10-22,biodiversity,fa,2017-10
2,EE,2017-10-22,climate change,et,2017-10
42,IR,2017-10-22,sustainability,fa,2017-10
9,US,2017-10-22,ecology,fa,2017-10
5,US,2017-10-22,desertification,ur,2017-10
3,US,2017-10-22,sustainability,fa,2017-10
1,IR,2017-10-22,climate change,fa,2017-10
2,DE,2017-10-22,sustainability,fa,2017-10
1,SE,2017-10-22,ecology,fa,2017-10
1,DE,2017-10-22,sustainability,ur,2017-10
3,GB,2017-10-22,ecology,fa,2017-10
3,GB,2017-10-22,sustainability,fa,2017-10
1,NL,2017-10-22,ecology,fa,2017-10
3,FR,2017-10-22,deforestation,ur,2017-10
1,PK,2017-10-22,deforestation,ur,2017-10
1,FR,2017-10-22,desertification,ur,2017-10
1,US,2017-10-22,deforestation,ur,2017-10
6,US,2017-10-22,sustainability,ur,2017-10
22,IR,2017-10-22,sustainability,ur,2017-10
2,GR,2017-10-22,biodiversity,el,2017-10
2,FR,2017-10-22,sustainability,ur,2017-10
1,PK,2017-10-22,subspecies,ur,2017-10
2,PK,2017-10-22,sustainability,ur,2017-10
1,GR,2017-10-22,biosphere,el,2017-10
4,GB,2017-10-22,sustainability,ur,2017-10
1,NL,2017-10-22,sustainability,ur,2017-10
11,GR,2017-10-22,extinction,el,2017-10
1,UA,2017-10-22,species diversity,el,2017-10
2,GR,2017-10-22,ecology,el,2017-10
4,GR,2017-10-22,sustainability,el,2017-10
1,GR,2017-10-22,species diversity,el,2017-10
1,US,2017-10-22,extinction,el,2017-10
2,CY,2017-10-22,sustainability,el,2017-10
3,GR,2017-10-22,climate change,el,2017-10
1,NL,2017-10-22,extinction,el,2017-10
3,US,2017-10-22,sustainability,el,2017-10
1,HK,2017-10-22,biodiversity,ta,2017-10
1,HK,2017-10-22,ecology,ta,2017-10
8,SE,2017-10-22,sustainability,sv,2017-10
2,SE,2017-10-22,climate change,sv,2017-10
2,IN,2017-10-22,ecology,ta,2017-10
2,SE,2017-10-22,ecology,in,2017-10
1,FI,2017-10-22,climate change,sv,2017-10
2,FI,2017-10-22,sustainability,fi,2017-10
4,DK,2017-10-22,ecology,da,2017-10
1,DK,2017-10-22,sustainability,da,2017-10
1,DK,2017-10-22,biodiversity,da,2017-10
2,DK,2017-10-22,protected area,da,2017-10
32,RO,2017-10-22,keystone species,ro,2017-10
1,RO,2017-10-22,biodiversity,ro,2017-10
1,MD,2017-10-22,keystone species,ro,2017-10
1,IT,2017-10-22,keystone species,ro,2017-10
1,RO,2017-10-22,sustainability,ro,2017-10
10,CZ,2017-10-22,ecology,in,2017-10
4,CZ,2017-10-22,ecology,cs,2017-10
1,CZ,2017-10-22,endangered species,cs,2017-10
2,RU,2017-10-22,ecology,in,2017-10
1,RU,2017-10-22,ecology,cs,2017-10
3,CZ,2017-10-22,extinction,cs,2017-10
1,CZ,2017-10-22,sustainability,cs,2017-10
4,SK,2017-10-22,extinction,cs,2017-10
42,GB,2017-10-23,climate change,en,2017-10
20,AU,2017-10-23,climate change,en,2017-10
2,ID,2017-10-23,sustainability,en,2017-10
166,ID,2017-10-23,biosphere,in,2017-10
15,ID,2017-10-23,sustainability,in,2017-10
527,US,2017-10-23,climate change,en,2017-10
70,US,2017-10-23,biodiversity,en,2017-10
69,US,2017-10-23,ecology,en,2017-10
4,NZ,2017-10-23,climate change,en,2017-10
8,CA,2017-10-23,sustainability,en,2017-10
1,UA,2017-10-23,ecology,en,2017-10
2,UA,2017-10-23,sustainability,en,2017-10
4,UA,2017-10-23,climate change,en,2017-10
3,PA,2017-10-23,biodiversity,es,2017-10
3,SG,2017-10-23,sustainability,en,2017-10
78,US,2017-10-23,deforestation,en,2017-10
22,GB,2017-10-23,extinction,en,2017-10
195,US,2017-10-23,sustainability,en,2017-10
2,US,2017-10-23,wildlife trade,en,2017-10
63,US,2017-10-23,endangered species,en,2017-10
6,CL,2017-10-23,biodiversity,es,2017-10
6,SG,2017-10-23,biodiversity,en,2017-10
2,SG,2017-10-23,biosphere,en,2017-10
6,RU,2017-10-23,extinction,en,2017-10
1,GB,2017-10-23,protected area,en,2017-10
4,EU,2017-10-23,climate change,en,2017-10
7,TV,2017-10-23,climate change,en,2017-10
1,PE,2017-10-23,biodiversity,es,2017-10
2,PE,2017-10-23,natural capital,es,2017-10
