country,month,trends,twitter,news,overall
DE,2017-11,4.40909090909,1.4829084408,3.64771509668,3.17990481552
SM,2017-11,,,3.54879594423,
AZ,2017-12,2.45454545455,1.48659410672,4.47874994117,2.80662983414
MW,2017-12,,,12.6213592233,
TG,2018-2,,21.689059501,38.0952380952,29.8921487981
HM,2018-2,,,,
MD,2017-12,4.63636363636,,1.73546460566,3.18591412101
MO,2018-1,2.59090909091,,7.25255972696,4.92173440894
SV,2017-11,10.5454545455,1.05617067718,6.91009030232,6.17057184165
AM,2018-2,,,0.556689552793,
AL,2017-11,,0.528122524426,0.238000793336,0.383061658881
SR,2018-2,,,5.68720379147,
CY,2018-1,1.27272727273,2.88004007012,2.83402667319,2.32893133868
PA,2017-11,21.4090909091,0.954710901605,5.1069130164,9.15690494237
HN,2018-1,8.09090909091,3.67947669665,5.8077740662,5.85938661792
BY,2018-1,3.40909090909,2.38416087903,1.73363246992,2.50896141935
QA,2017-11,4.72727272727,0.785193494111,5.28301886792,3.59849502977
EG,2018-1,1.63636363636,0.692483980773,0.731298677776,1.02004876497
LI,2018-1,,25.9593679458,3.17016317016,14.564765558
MH,2017-11,,,,
FM,2018-1,,,6.85663693599,
FO,2017-11,,,,
SX,2017-11,,,1.40350877193,
YE,2017-11,0.0909090909091,0.527823857638,1.03626943005,0.551667459533
ES,2018-1,10.1818181818,9.9372575382,4.98112629517,8.36673400506
SK,2018-2,1.59090909091,,0.938551443244,1.26473026708
VU,2017-11,,,33.8983050847,
HK,2018-2,5.77272727273,3.42579960588,1.22574055158,3.47475581006
UM,2017-11,,25.8064516129,,
HT,2017-12,7.77272727273,0.32737051327,,4.050048893
TV,2017-11,,33.3333333333,2.63919746852,17.9862654009
TC,2017-11,,,,
GQ,2018-2,,,,
TG,2017-11,,,5.40540540541,
BZ,2017-11,4.54545454545,0.81506235227,0.15665591833,1.83905760535
MO,2017-12,0.227272727273,,9.00432900433,4.6158008658
NZ,2017-12,5.54545454545,2.46474156572,17.3457176029,8.45197123804
SY,2017-11,1.09090909091,0.348037936135,1.26582278481,0.901589937285
IN,2017-12,6.59090909091,0.807099747938,4.29804560261,3.89868481382
SJ,2017-11,,,,
TD,2017-11,,,,
SR,2017-11,,,4.0899795501,
IM,2018-1,,,3.2974137931,
ES,2017-11,10.7272727273,1.88814375936,5.36254776442,5.99265475035
SM,2018-2,,,1.02827763496,
AG,2017-12,,,2.63959390863,
FJ,2017-12,,1.82410423453,26.381059752,14.1025819933
SD,2017-11,0.636363636364,0.408747189863,0.325732899023,0.456947908417
AI,2018-2,,,6.89655172414,
PM,2017-11,,,1.88235294118,
PM,2017-12,,,1.15299334812,
SH,2017-11,4.31818181818,,,
CW,2018-2,,,,
MY,2017-12,9.59090909091,0.30323789567,4.1119138316,4.66868693939
SS,2017-11,,,,
GE,2017-11,0.181818181818,0.55652173913,0.235849056604,0.324729659184
GS,2017-11,,,,
JP,2017-12,4.54545454545,0.82703532237,0.207069523079,1.8598531303
PH,2018-1,17.7727272727,1.62829500458,3.21125114051,7.53742447261
JO,2017-12,1.04545454545,0.119627445954,1.13289760349,0.765993198298
TG,2017-12,,,5.30612244898,
SI,2017-11,3.18181818182,0.571591883395,0.559799405213,1.43773649014
CH,2017-11,8.09090909091,2.6021943878,2.62295710153,4.43868686008
